model,hook,cache_key,mean_accuracy,std_accuracy,acc,std,chance,delta_over_chance,margin_over_chance,n_samples,raw_features,raw_dim,pca_components_used,pca_dim,var_explained,n_splits
D4LensPINN,H08_kappa_out,H08kappaout,0.36500000000000005,0.024159335036125378,0.36500000000000005,0.024159335036125378,0.14285714285714285,0.2221428571428572,0.2221428571428572,1400,22500,22500,50,50,0.5760116577148438,5
D4LensPINN,H09_poisson,H09poisson,0.48500000000000004,0.0272366799499109,0.48500000000000004,0.0272366799499109,0.14285714285714285,0.3421428571428572,0.3421428571428572,1400,22500,22500,50,50,0.9996078014373779,5
D4LensPINN,H11_inv_lens,H11invlens,0.4192857142857142,0.012079667518062684,0.4192857142857142,0.012079667518062684,0.14285714285714285,0.27642857142857136,0.27642857142857136,1400,22500,22500,50,50,0.9494244456291199,5
D4LensPINN,H12_HANDOFF,H12HANDOFF,0.42857142857142855,0.010832679205787935,0.42857142857142855,0.010832679205787935,0.14285714285714285,0.2857142857142857,0.2857142857142857,1400,90000,90000,50,50,0.9474276304244995,5
D4LensPINN,H13_eff3,H13eff3,0.4492857142857143,0.03307381972225779,0.4492857142857143,0.03307381972225779,0.14285714285714285,0.30642857142857144,0.30642857142857144,1400,23104,23104,50,50,0.32701602578163147,5
D4LensPINN,H13b_eff4,H13b_eff4,0.4557142857142857,0.020775770817498544,0.4557142857142857,0.020775770817498544,0.14285714285714285,0.31285714285714283,0.31285714285714283,1400,12800,12800,50,50,0.6117112040519714,5
D4LensPINN,H15_before_gap,H15beforegap,0.26642857142857146,0.028085147501910712,0.26642857142857146,0.028085147501910712,0.14285714285714285,0.12357142857142861,0.12357142857142861,1400,32000,32000,50,50,0.9700956344604492,5
D4LensPINN,H16_after_gap,H16aftergap,0.19785714285714287,0.02138089935299395,0.19785714285714287,0.02138089935299395,0.14285714285714285,0.05500000000000002,0.05500000000000002,1400,1280,1280,50,50,0.9997575283050537,5
