model,img_idx,orig_idx,true_class,group,hook,delta_l2,dpc_0,dpc_1,dpc_2,secondary
D4LensPINN,0,11,2,r90,H17_pre_linear,2.990363597869873,-0.9312524795532227,2.3002474308013916,-1.6685038805007935,False
D4LensPINN,0,11,2,r180,H00_preprocess,0.9051448106765747,-0.18854093551635742,-0.41325950622558594,0.7829151153564453,False
D4LensPINN,0,11,2,r180,H01_enc1,0.9051448106765747,-0.18854093551635742,-0.41325950622558594,0.7829151153564453,False
D4LensPINN,0,11,2,r180,H02_enc2,0.6553296446800232,0.4143843650817871,-0.3239297866821289,0.3909118175506592,False
D4LensPINN,0,11,2,r180,H03_enc3,0.7395104169845581,0.1634531021118164,0.4983093738555908,-0.5213890075683594,False
D4LensPINN,0,11,2,r180,H04_bot,0.46423301100730896,-0.020804882049560547,0.37096941471099854,-0.2783184051513672,False
D4LensPINN,0,11,2,r180,H08_kappa_out,0.9051448106765747,-0.18854093551635742,-0.41325950622558594,0.7829151153564453,False
D4LensPINN,0,11,2,r180,H09_poisson,0.06551859527826309,-0.041817665100097656,0.04797172546386719,-0.015578269958496094,False
D4LensPINN,0,11,2,r180,H10_deflection,0.06551859527826309,-0.041817665100097656,0.04797172546386719,-0.015578269958496094,False
D4LensPINN,0,11,2,r180,H11_inv_lens,12.81518268585205,-7.857476711273193,-5.453668594360352,8.529152870178223,False
D4LensPINN,0,11,2,r180,H12_HANDOFF,2.4277193546295166,-1.0166831016540527,-1.1599671840667725,1.8747406005859375,False
D4LensPINN,0,11,2,r180,H12b_input_proj,2.4277193546295166,-1.0166831016540527,-1.1599671840667725,1.8747406005859375,False
D4LensPINN,0,11,2,r180,H13_eff3,2.4277193546295166,-1.0166831016540527,-1.1599671840667725,1.8747406005859375,False
D4LensPINN,0,11,2,r180,H13b_eff4,2.4277193546295166,-1.0166831016540527,-1.1599671840667725,1.8747406005859375,False
D4LensPINN,0,11,2,r180,H14_eff5,2.4277193546295166,-1.0166831016540527,-1.1599671840667725,1.8747406005859375,False
D4LensPINN,0,11,2,r180,H14b_eff6,2.4277193546295166,-1.0166831016540527,-1.1599671840667725,1.8747406005859375,False
D4LensPINN,0,11,2,r180,H15_before_gap,2.4277193546295166,-1.0166831016540527,-1.1599671840667725,1.8747406005859375,False
D4LensPINN,0,11,2,r180,H16_after_gap,2.4277193546295166,-1.0166831016540527,-1.1599671840667725,1.8747406005859375,False
D4LensPINN,0,11,2,r180,H17_pre_linear,2.4277193546295166,-1.0166831016540527,-1.1599671840667725,1.8747406005859375,False
D4LensPINN,0,11,2,r270,H00_preprocess,3.336867332458496,1.4546473026275635,1.672597050666809,-2.4942140579223633,False
D4LensPINN,0,11,2,r270,H01_enc1,3.336867332458496,1.4546473026275635,1.672597050666809,-2.4942140579223633,False
D4LensPINN,0,11,2,r270,H02_enc2,3.0133211612701416,1.3378117084503174,1.5082228183746338,-2.2395596504211426,False
D4LensPINN,0,11,2,r270,H03_enc3,0.3207971751689911,-0.28032636642456055,0.13450443744659424,0.07897162437438965,False
D4LensPINN,0,11,2,r270,H04_bot,0.33742639422416687,-0.2558612823486328,0.2196410894393921,-0.012221574783325195,False
D4LensPINN,0,11,2,r270,H08_kappa_out,3.336867332458496,1.4546473026275635,1.672597050666809,-2.4942140579223633,False
D4LensPINN,0,11,2,r270,H09_poisson,0.10529901832342148,0.06401443481445312,0.033602237701416016,-0.07655668258666992,False
D4LensPINN,0,11,2,r270,H10_deflection,0.10529901832342148,0.06401443481445312,0.033602237701416016,-0.07655668258666992,False
D4LensPINN,0,11,2,r270,H11_inv_lens,34.956451416015625,-21.796173095703125,-14.213739395141602,23.342021942138672,False
D4LensPINN,0,11,2,r270,H12_HANDOFF,1.9872690439224243,1.0397815704345703,0.873579204082489,-1.4508452415466309,False
D4LensPINN,0,11,2,r270,H12b_input_proj,1.9872690439224243,1.0397815704345703,0.873579204082489,-1.4508452415466309,False
D4LensPINN,0,11,2,r270,H13_eff3,1.9872690439224243,1.0397815704345703,0.873579204082489,-1.4508452415466309,False
D4LensPINN,0,11,2,r270,H13b_eff4,1.9872690439224243,1.0397815704345703,0.873579204082489,-1.4508452415466309,False
D4LensPINN,0,11,2,r270,H14_eff5,1.9872690439224243,1.0397815704345703,0.873579204082489,-1.4508452415466309,False
D4LensPINN,0,11,2,r270,H14b_eff6,1.9872690439224243,1.0397815704345703,0.873579204082489,-1.4508452415466309,False
D4LensPINN,0,11,2,r270,H15_before_gap,1.9872690439224243,1.0397815704345703,0.873579204082489,-1.4508452415466309,False
D4LensPINN,0,11,2,r270,H16_after_gap,1.9872690439224243,1.0397815704345703,0.873579204082489,-1.4508452415466309,False
D4LensPINN,0,11,2,r270,H17_pre_linear,1.9872690439224243,1.0397815704345703,0.873579204082489,-1.4508452415466309,False
D4LensPINN,0,11,2,flip_h,H00_preprocess,1.4474241733551025,-1.2046689987182617,0.03872847557067871,0.8014421463012695,False
D4LensPINN,0,11,2,flip_h,H01_enc1,1.4474241733551025,-1.2046689987182617,0.03872847557067871,0.8014421463012695,False
D4LensPINN,0,11,2,flip_h,H02_enc2,1.3344078063964844,-0.63311767578125,-0.5257816314697266,1.0504093170166016,False
D4LensPINN,0,11,2,flip_h,H03_enc3,0.6561781764030457,-0.5652899742126465,0.0026547908782958984,0.33318161964416504,False
D4LensPINN,0,11,2,flip_h,H04_bot,0.7183085680007935,-0.5844573974609375,-0.05584836006164551,0.4138329029083252,False
D4LensPINN,0,11,2,flip_h,H08_kappa_out,1.4474241733551025,-1.2046689987182617,0.03872847557067871,0.8014421463012695,False
D4LensPINN,0,11,2,flip_h,H09_poisson,0.15295185148715973,-0.037058353424072266,0.12105691432952881,-0.08582639694213867,False
D4LensPINN,0,11,2,flip_h,H10_deflection,0.15295185148715973,-0.037058353424072266,0.12105691432952881,-0.08582639694213867,False
D4LensPINN,0,11,2,flip_h,H11_inv_lens,9.830796241760254,-6.097473621368408,-4.113430976867676,6.522656440734863,False
D4LensPINN,0,11,2,flip_h,H12_HANDOFF,2.5533058643341064,-1.649139404296875,-0.7986953258514404,1.7781438827514648,False
D4LensPINN,0,11,2,flip_h,H12b_input_proj,2.5533058643341064,-1.649139404296875,-0.7986953258514404,1.7781438827514648,False
D4LensPINN,0,11,2,flip_h,H13_eff3,2.5533058643341064,-1.649139404296875,-0.7986953258514404,1.7781438827514648,False
D4LensPINN,0,11,2,flip_h,H13b_eff4,2.5533058643341064,-1.649139404296875,-0.7986953258514404,1.7781438827514648,False
D4LensPINN,0,11,2,flip_h,H14_eff5,2.5533058643341064,-1.649139404296875,-0.7986953258514404,1.7781438827514648,False
D4LensPINN,0,11,2,flip_h,H14b_eff6,2.5533058643341064,-1.649139404296875,-0.7986953258514404,1.7781438827514648,False
D4LensPINN,0,11,2,flip_h,H15_before_gap,2.5533058643341064,-1.649139404296875,-0.7986953258514404,1.7781438827514648,False
D4LensPINN,0,11,2,flip_h,H16_after_gap,2.5533058643341064,-1.649139404296875,-0.7986953258514404,1.7781438827514648,False
D4LensPINN,0,11,2,flip_h,H17_pre_linear,2.5533058643341064,-1.649139404296875,-0.7986953258514404,1.7781438827514648,False
D4LensPINN,0,11,2,flip_h_r90,H00_preprocess,4.834841728210449,0.37189579010009766,3.3077876567840576,-3.5065553188323975,False
D4LensPINN,0,11,2,flip_h_r90,H01_enc1,4.834841728210449,0.37189579010009766,3.3077876567840576,-3.5065553188323975,False
D4LensPINN,0,11,2,flip_h_r90,H02_enc2,4.5336995124816895,0.2794981002807617,3.1336631774902344,-3.2644243240356445,False
D4LensPINN,0,11,2,flip_h_r90,H03_enc3,0.764220654964447,-0.6518778800964355,0.007672548294067383,0.3987851142883301,False
D4LensPINN,0,11,2,flip_h_r90,H04_bot,0.5181083679199219,-0.46491527557373047,0.14007163047790527,0.18074846267700195,False
D4LensPINN,0,11,2,flip_h_r90,H08_kappa_out,4.834841728210449,0.37189579010009766,3.3077876567840576,-3.5065553188323975,False
D4LensPINN,0,11,2,flip_h_r90,H09_poisson,0.2602573335170746,0.12059307098388672,0.1145925521850586,-0.2001492977142334,False
D4LensPINN,0,11,2,flip_h_r90,H10_deflection,0.2602573335170746,0.12059307098388672,0.1145925521850586,-0.2001492977142334,False
D4LensPINN,0,11,2,flip_h_r90,H11_inv_lens,28.074682235717773,-17.64339256286621,-11.332167625427246,18.66762924194336,False
D4LensPINN,0,11,2,flip_h_r90,H12_HANDOFF,3.699105978012085,1.782693862915039,1.7417577505111694,-2.7334351539611816,False
D4LensPINN,0,11,2,flip_h_r90,H12b_input_proj,3.699105978012085,1.782693862915039,1.7417577505111694,-2.7334351539611816,False
D4LensPINN,0,11,2,flip_h_r90,H13_eff3,3.699105978012085,1.782693862915039,1.7417577505111694,-2.7334351539611816,False
D4LensPINN,0,11,2,flip_h_r90,H13b_eff4,3.699105978012085,1.782693862915039,1.7417577505111694,-2.7334351539611816,False
D4LensPINN,0,11,2,flip_h_r90,H14_eff5,3.699105978012085,1.782693862915039,1.7417577505111694,-2.7334351539611816,False
D4LensPINN,0,11,2,flip_h_r90,H14b_eff6,3.699105978012085,1.782693862915039,1.7417577505111694,-2.7334351539611816,False
D4LensPINN,0,11,2,flip_h_r90,H15_before_gap,3.699105978012085,1.782693862915039,1.7417577505111694,-2.7334351539611816,False
D4LensPINN,0,11,2,flip_h_r90,H16_after_gap,3.699105978012085,1.782693862915039,1.7417577505111694,-2.7334351539611816,False
D4LensPINN,0,11,2,flip_h_r90,H17_pre_linear,3.699105978012085,1.782693862915039,1.7417577505111694,-2.7334351539611816,False
D4LensPINN,0,11,2,flip_h_r180,H00_preprocess,1.2161365747451782,0.8621599674224854,-0.8390345573425293,0.17801547050476074,False
D4LensPINN,0,11,2,flip_h_r180,H01_enc1,1.2161365747451782,0.8621599674224854,-0.8390345573425293,0.17801547050476074,False
D4LensPINN,0,11,2,flip_h_r180,H02_enc2,1.1241847276687622,0.786496639251709,-0.7827720642089844,0.18022847175598145,False
D4LensPINN,0,11,2,flip_h_r180,H03_enc3,1.622470736503601,0.7786891460418701,0.7650498151779175,-1.2003138065338135,False
D4LensPINN,0,11,2,flip_h_r180,H04_bot,1.6078945398330688,0.7664272785186768,0.7627543210983276,-1.1900084018707275,False
D4LensPINN,0,11,2,flip_h_r180,H08_kappa_out,1.2161365747451782,0.8621599674224854,-0.8390345573425293,0.17801547050476074,False
D4LensPINN,0,11,2,flip_h_r180,H09_poisson,0.09606821835041046,0.03527259826660156,0.04833984375,-0.07515454292297363,False
D4LensPINN,0,11,2,flip_h_r180,H10_deflection,0.09606821835041046,0.03527259826660156,0.04833984375,-0.07515454292297363,False
