group,d_full,d_kappa,d_isr
r180,1.5870885848999023,7.426722526550293,7.212338924407959
r270,4.896928787231445,3.2727277278900146,3.628232479095459
flip_h,1.9684957265853882,0.5972026586532593,0.7179821729660034
flip_h_r90,5.167947292327881,4.140917778015137,4.554467678070068
flip_h_r180,1.652522325515747,7.034461498260498,8.449666976928711
flip_h_r270,3.8858189582824707,2.8307852745056152,4.192007541656494
r90,2.4203851222991943,4.844272613525391,5.279478549957275
r180,2.2524521350860596,1.7284044027328491,2.9422037601470947
r270,3.8282508850097656,2.858593463897705,5.829952716827393
flip_h,1.5770231485366821,7.91079568862915,5.264303207397461
flip_h_r90,0.9669502973556519,1.966537594795227,3.4086830615997314
flip_h_r180,2.0645437240600586,5.833231449127197,4.391253471374512
flip_h_r270,3.888939380645752,3.5590269565582275,4.455294132232666
r90,4.5058746337890625,5.429257392883301,5.959347724914551
r180,2.6027188301086426,5.712234020233154,7.158806324005127
r270,2.3294410705566406,5.954652309417725,4.439241886138916
flip_h,3.7418482303619385,7.902745723724365,6.5327301025390625
flip_h_r90,3.2851686477661133,6.483087539672852,5.377946376800537
flip_h_r180,5.01346492767334,8.466634750366211,4.9261651039123535
flip_h_r270,3.076749086380005,5.817969799041748,6.008749485015869
r90,6.4028472900390625,6.01942253112793,6.024980068206787
r180,1.7616496086120605,2.0527966022491455,1.2739315032958984
r270,6.5890350341796875,3.0607824325561523,6.287553787231445
flip_h,1.4141559600830078,2.660335063934326,1.8741772174835205
flip_h_r90,5.2144455909729,4.851131916046143,8.706024169921875
flip_h_r180,1.9487817287445068,1.3352376222610474,0.5771203637123108
flip_h_r270,8.252391815185547,5.3999834060668945,6.109179973602295
r90,4.494228839874268,0.5616028904914856,3.9730443954467773
r180,0.9596969485282898,0.3979242742061615,0.8388155102729797
r270,1.9806560277938843,0.25455549359321594,0.9856528043746948
flip_h,1.2885271310806274,0.41928085684776306,1.3431051969528198
flip_h_r90,2.9073305130004883,0.31052303314208984,1.8994431495666504
flip_h_r180,2.222526788711548,0.37462395429611206,0.15691673755645752
flip_h_r270,7.133139133453369,0.2535601854324341,3.084562301635742
r90,2.2349042892456055,0.3772232234477997,2.497490644454956
r180,0.33178073167800903,0.6074600219726562,1.5286880731582642
r270,4.481230735778809,0.5794890522956848,1.2516802549362183
flip_h,0.021055443212389946,0.7957305312156677,0.6919869780540466
flip_h_r90,4.24105978012085,0.3496291935443878,2.3289928436279297
flip_h_r180,0.6348238587379456,2.3210999965667725,0.892661988735199
flip_h_r270,3.972907543182373,4.82615327835083,5.390364170074463
r90,1.616694688796997,2.483196258544922,0.30501610040664673
r180,2.716193675994873,1.7018686532974243,2.9303054809570312
r270,1.4897346496582031,2.5744876861572266,1.60537850856781
flip_h,1.488046407699585,2.5745575428009033,3.429572820663452
flip_h_r90,1.365036129951477,2.0203890800476074,1.4966009855270386
flip_h_r180,1.1315191984176636,2.2523233890533447,1.6795717477798462
flip_h_r270,1.442323923110962,2.3085217475891113,1.187469720840454
r90,2.73457670211792,0.42950257658958435,2.82560396194458
r180,1.0530949831008911,2.2224388122558594,3.21161150932312
r270,1.1926928758621216,1.3213305473327637,1.4334704875946045
flip_h,2.4578614234924316,0.5141634941101074,1.15244460105896
flip_h_r90,2.3323471546173096,2.65575909614563,2.824427604675293
flip_h_r180,4.540550231933594,1.2421811819076538,1.196951150894165
flip_h_r270,0.9608293175697327,5.015987873077393,0.7518508434295654
r90,2.7165896892547607,1.144758701324463,0.7577881813049316
r180,0.7063679695129395,0.8610154390335083,1.3573124408721924
r270,3.032550811767578,0.9937928915023804,0.3436276912689209
flip_h,1.2840170860290527,0.5022731423377991,0.43071702122688293
flip_h_r90,3.091069221496582,0.7611914277076721,0.2949354946613312
flip_h_r180,0.8143632411956787,1.210344910621643,1.7453354597091675
flip_h_r270,2.414281129837036,1.3654392957687378,1.3080482482910156
r90,3.647139310836792,2.0540833473205566,3.690112829208374
r180,1.3653907775878906,1.3535696268081665,2.1414899826049805
r270,9.55707836151123,4.701508522033691,8.79362964630127
flip_h,0.32818666100502014,1.7158197164535522,1.4373215436935425
flip_h_r90,6.962244987487793,1.8282618522644043,3.3582911491394043
flip_h_r180,0.8593562841415405,1.1227681636810303,1.89458167552948
flip_h_r270,9.159782409667969,5.378690242767334,6.1133551597595215
r90,5.315700531005859,2.4089715480804443,5.3331193923950195
r180,0.777180016040802,4.333327293395996,4.223086357116699
r270,4.7245354652404785,0.7271251082420349,5.700968265533447
flip_h,1.5965218544006348,1.7291193008422852,2.1911091804504395
flip_h_r90,5.706439018249512,0.22461341321468353,3.699155807495117
flip_h_r180,0.8741169571876526,2.6180577278137207,4.217782497406006
flip_h_r270,4.249973773956299,2.7003557682037354,5.046969890594482
r90,0.96357661485672,1.9162309169769287,2.0365045070648193
r180,0.7220162749290466,2.058220863342285,2.3271894454956055
r270,0.977785050868988,3.090329170227051,2.8582067489624023
flip_h,2.3264424800872803,1.6003086566925049,1.4098789691925049
flip_h_r90,1.583638072013855,3.2717559337615967,3.1479718685150146
flip_h_r180,1.7554736137390137,2.6057381629943848,2.003950357437134
flip_h_r270,0.36110928654670715,2.019697427749634,2.7696011066436768
r90,3.947646379470825,5.4429731369018555,2.942833185195923
r180,1.3452237844467163,2.2684357166290283,3.300696611404419
r270,1.7436466217041016,5.874608039855957,4.899920463562012
flip_h,4.184833526611328,3.534688949584961,1.910279631614685
flip_h_r90,3.7853567600250244,3.5702950954437256,4.643702507019043
flip_h_r180,1.3494826555252075,5.7838568687438965,4.389387130737305
flip_h_r270,3.4282467365264893,5.593600273132324,5.494359493255615
r90,5.167308807373047,7.547947883605957,6.060154914855957
r180,1.62808358669281,5.859518051147461,5.784242153167725
r270,6.009002208709717,6.325705051422119,6.3507399559021
flip_h,1.8059028387069702,0.2909480035305023,1.2281956672668457
flip_h_r90,4.9460978507995605,8.347806930541992,7.674220085144043
flip_h_r180,0.8093979358673096,5.392258644104004,5.924633502960205
flip_h_r270,4.463531970977783,4.629845142364502,5.95141077041626
r90,6.397139549255371,5.407258033752441,3.5780117511749268
r180,5.678769111633301,3.154268741607666,3.527514934539795
r270,6.905372619628906,3.908271312713623,5.221075057983398
flip_h,3.1987428665161133,4.232398986816406,4.279247760772705
flip_h_r90,5.16216516494751,0.8736581206321716,4.996396064758301
flip_h_r180,5.545248508453369,2.9368505477905273,3.3561460971832275
flip_h_r270,5.318296432495117,6.009068489074707,3.6762356758117676
r90,1.8981043100357056,4.812774181365967,5.058431625366211
r180,1.9097927808761597,3.164297103881836,2.6272172927856445
r270,1.8410799503326416,2.92472767829895,2.318464756011963
flip_h,1.1295381784439087,2.32269287109375,1.1427037715911865
flip_h_r90,4.048305034637451,3.633296489715576,3.699284791946411
flip_h_r180,0.9366744756698608,4.487288475036621,4.055088996887207
flip_h_r270,3.447113513946533,0.538902997970581,1.6814862489700317
r90,5.465656757354736,5.885024547576904,7.096745014190674
r180,3.9347994327545166,7.195902347564697,9.02515983581543
r270,5.651139259338379,5.917695045471191,7.029140472412109
flip_h,4.7553839683532715,6.323625564575195,3.4589617252349854
flip_h_r90,3.429551839828491,2.6636412143707275,4.015165328979492
flip_h_r180,4.870885848999023,4.980725288391113,6.017879009246826
flip_h_r270,5.5986785888671875,6.055187702178955,9.648249626159668
r90,2.4027938842773438,0.2620471715927124,0.3853417932987213
r180,3.3285775184631348,1.1522897481918335,3.3694844245910645
r270,6.107857704162598,2.744554042816162,0.7928653359413147
flip_h,4.03708028793335,1.4860217571258545,1.7592567205429077
flip_h_r90,1.9931950569152832,4.8919358253479,2.0436930656433105
