model,img_idx,orig_idx,true_class,group,hook,delta_l2,dpc_0,dpc_1,dpc_2,secondary
D4LensPINN,1,17,2,e,H01_enc1,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H02_enc2,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H03_enc3,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H04_bot,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H08_kappa_out,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H09_poisson,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H10_deflection,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H11_inv_lens,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H12_HANDOFF,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H12b_input_proj,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H13_eff3,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H13b_eff4,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H14_eff5,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H14b_eff6,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H15_before_gap,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H16_after_gap,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,e,H17_pre_linear,0.0,0.0,0.0,0.0,False
D4LensPINN,1,17,2,r90,H00_preprocess,1.1887723207473755,-0.3844146728515625,0.8311589956283569,-0.7580103874206543,False
D4LensPINN,1,17,2,r90,H01_enc1,1.1887723207473755,-0.3844146728515625,0.8311589956283569,-0.7580103874206543,False
D4LensPINN,1,17,2,r90,H02_enc2,0.4927961826324463,-0.34922361373901367,0.2647406756877899,-0.22539591789245605,False
D4LensPINN,1,17,2,r90,H03_enc3,1.5593868494033813,0.14916324615478516,1.0720738172531128,-1.1225396394729614,False
D4LensPINN,1,17,2,r90,H04_bot,1.007828712463379,0.12517642974853516,0.6866883039474487,-0.7269861698150635,False
D4LensPINN,1,17,2,r90,H08_kappa_out,1.1887723207473755,-0.3844146728515625,0.8311589956283569,-0.7580103874206543,False
D4LensPINN,1,17,2,r90,H09_poisson,0.265651673078537,-0.12344121932983398,0.1971539855003357,-0.1283097267150879,False
D4LensPINN,1,17,2,r90,H10_deflection,0.265651673078537,-0.12344121932983398,0.1971539855003357,-0.1283097267150879,False
D4LensPINN,1,17,2,r90,H11_inv_lens,3.2350471019744873,2.774423599243164,-1.594612717628479,0.4746713638305664,False
D4LensPINN,1,17,2,r90,H12_HANDOFF,1.5534265041351318,0.16576671600341797,1.0043972730636597,-1.1733888387680054,False
D4LensPINN,1,17,2,r90,H12b_input_proj,1.5534265041351318,0.16576671600341797,1.0043972730636597,-1.1733888387680054,False
D4LensPINN,1,17,2,r90,H13_eff3,1.5534265041351318,0.16576671600341797,1.0043972730636597,-1.1733888387680054,False
D4LensPINN,1,17,2,r90,H13b_eff4,1.5534265041351318,0.16576671600341797,1.0043972730636597,-1.1733888387680054,False
D4LensPINN,1,17,2,r90,H14_eff5,1.5534265041351318,0.16576671600341797,1.0043972730636597,-1.1733888387680054,False
D4LensPINN,1,17,2,r90,H14b_eff6,1.5534265041351318,0.16576671600341797,1.0043972730636597,-1.1733888387680054,False
D4LensPINN,1,17,2,r90,H15_before_gap,1.5534265041351318,0.16576671600341797,1.0043972730636597,-1.1733888387680054,False
D4LensPINN,1,17,2,r90,H16_after_gap,1.5534265041351318,0.16576671600341797,1.0043972730636597,-1.1733888387680054,False
D4LensPINN,1,17,2,r90,H17_pre_linear,1.5534265041351318,0.16576671600341797,1.0043972730636597,-1.1733888387680054,False
D4LensPINN,1,17,2,r180,H00_preprocess,0.834079384803772,-0.6331124305725098,0.5070142149925232,-0.19440603256225586,False
D4LensPINN,1,17,2,r180,H01_enc1,0.834079384803772,-0.6331124305725098,0.5070142149925232,-0.19440603256225586,False
D4LensPINN,1,17,2,r180,H02_enc2,2.0418238639831543,0.6093478202819824,1.2268540859222412,-1.5141230821609497,False
D4LensPINN,1,17,2,r180,H03_enc3,0.4359736442565918,-0.21223688125610352,0.3176236152648926,-0.21010422706604004,False
D4LensPINN,1,17,2,r180,H04_bot,0.2837638258934021,-0.16264867782592773,-0.11301064491271973,0.20321393013000488,False
D4LensPINN,1,17,2,r180,H08_kappa_out,0.834079384803772,-0.6331124305725098,0.5070142149925232,-0.19440603256225586,False
D4LensPINN,1,17,2,r180,H09_poisson,0.16335542500019073,0.14728069305419922,-0.0038929879665374756,-0.070556640625,False
D4LensPINN,1,17,2,r180,H10_deflection,0.16335542500019073,0.14728069305419922,-0.0038929879665374756,-0.070556640625,False
D4LensPINN,1,17,2,r180,H11_inv_lens,13.923341751098633,-6.353113174438477,-7.6075921058654785,9.778647422790527,False
D4LensPINN,1,17,2,r180,H12_HANDOFF,1.6035295724868774,0.4848613739013672,-1.1602799892425537,0.9949707984924316,False
D4LensPINN,1,17,2,r180,H12b_input_proj,1.6035295724868774,0.4848613739013672,-1.1602799892425537,0.9949707984924316,False
D4LensPINN,1,17,2,r180,H13_eff3,1.6035295724868774,0.4848613739013672,-1.1602799892425537,0.9949707984924316,False
D4LensPINN,1,17,2,r180,H13b_eff4,1.6035295724868774,0.4848613739013672,-1.1602799892425537,0.9949707984924316,False
D4LensPINN,1,17,2,r180,H14_eff5,1.6035295724868774,0.4848613739013672,-1.1602799892425537,0.9949707984924316,False
D4LensPINN,1,17,2,r180,H14b_eff6,1.6035295724868774,0.4848613739013672,-1.1602799892425537,0.9949707984924316,False
D4LensPINN,1,17,2,r180,H15_before_gap,1.6035295724868774,0.4848613739013672,-1.1602799892425537,0.9949707984924316,False
D4LensPINN,1,17,2,r180,H16_after_gap,1.6035295724868774,0.4848613739013672,-1.1602799892425537,0.9949707984924316,False
D4LensPINN,1,17,2,r180,H17_pre_linear,1.6035295724868774,0.4848613739013672,-1.1602799892425537,0.9949707984924316,False
D4LensPINN,1,17,2,r270,H00_preprocess,0.6972475647926331,-0.5031843185424805,0.4086412191390991,-0.2568502426147461,False
D4LensPINN,1,17,2,r270,H01_enc1,0.6972475647926331,-0.5031843185424805,0.4086412191390991,-0.2568502426147461,False
D4LensPINN,1,17,2,r270,H02_enc2,1.1812477111816406,0.7832322120666504,0.34440624713897705,-0.8144187927246094,False
D4LensPINN,1,17,2,r270,H03_enc3,0.5635309219360352,-0.1154489517211914,0.4180300235748291,-0.3598465919494629,False
D4LensPINN,1,17,2,r270,H04_bot,0.6068543791770935,-0.21116352081298828,0.4491245746612549,-0.3492410182952881,False
D4LensPINN,1,17,2,r270,H08_kappa_out,0.6972475647926331,-0.5031843185424805,0.4086412191390991,-0.2568502426147461,False
D4LensPINN,1,17,2,r270,H09_poisson,0.10077733546495438,0.0895843505859375,-0.045823484659194946,-0.005560874938964844,False
D4LensPINN,1,17,2,r270,H10_deflection,0.10077733546495438,0.0895843505859375,-0.045823484659194946,-0.005560874938964844,False
D4LensPINN,1,17,2,r270,H11_inv_lens,3.3593287467956543,2.8365426063537598,-1.7767338752746582,0.28693628311157227,False
D4LensPINN,1,17,2,r270,H12_HANDOFF,1.3923496007919312,-1.3125643730163574,0.2288738489151001,0.4042634963989258,False
D4LensPINN,1,17,2,r270,H12b_input_proj,1.3923496007919312,-1.3125643730163574,0.2288738489151001,0.4042634963989258,False
