model,img_idx,true_class,group,hook,repr_dist
D4LensPINN,0,2,flip_h,H17_pre_linear,0.4699275007487533
D4LensPINN,0,2,flip_h_r90,H00_preprocess,1.2001343962374535
D4LensPINN,0,2,flip_h_r90,H01_enc1,1.0373193155747897
D4LensPINN,0,2,flip_h_r90,H02_enc2,0.9131534721721557
D4LensPINN,0,2,flip_h_r90,H03_enc3,0.6587391721128074
D4LensPINN,0,2,flip_h_r90,H04_bot,0.42185756007250086
D4LensPINN,0,2,flip_h_r90,H08_kappa_out,0.8080133761643217
D4LensPINN,0,2,flip_h_r90,H09_poisson,0.0443464365151379
D4LensPINN,0,2,flip_h_r90,H10_deflection,0.29650504624286467
D4LensPINN,0,2,flip_h_r90,H11_inv_lens,0.7587341235415342
D4LensPINN,0,2,flip_h_r90,H12_HANDOFF,0.7602643549975474
D4LensPINN,0,2,flip_h_r90,H12b_input_proj,0.9025213788053059
D4LensPINN,0,2,flip_h_r90,H13_eff3,0.9416444679947628
D4LensPINN,0,2,flip_h_r90,H13b_eff4,0.8674411137387604
D4LensPINN,0,2,flip_h_r90,H14_eff5,0.8882243014013047
D4LensPINN,0,2,flip_h_r90,H14b_eff6,0.4734638617327926
D4LensPINN,0,2,flip_h_r90,H15_before_gap,0.8679441088622957
D4LensPINN,0,2,flip_h_r90,H16_after_gap,0.7036346459227613
D4LensPINN,0,2,flip_h_r90,H17_pre_linear,0.7036346459227613
D4LensPINN,0,2,flip_h_r180,H00_preprocess,1.229651061680088
D4LensPINN,0,2,flip_h_r180,H01_enc1,0.9795520468453762
D4LensPINN,0,2,flip_h_r180,H02_enc2,0.8174306468813902
D4LensPINN,0,2,flip_h_r180,H03_enc3,0.5327955531346877
D4LensPINN,0,2,flip_h_r180,H04_bot,0.26396637422311536
D4LensPINN,0,2,flip_h_r180,H08_kappa_out,0.5698336726496819
D4LensPINN,0,2,flip_h_r180,H09_poisson,0.029815533829427473
D4LensPINN,0,2,flip_h_r180,H10_deflection,0.1678130038558619
D4LensPINN,0,2,flip_h_r180,H11_inv_lens,0.3943674781029769
D4LensPINN,0,2,flip_h_r180,H12_HANDOFF,0.3961456206952357
D4LensPINN,0,2,flip_h_r180,H12b_input_proj,0.4882803164970097
D4LensPINN,0,2,flip_h_r180,H13_eff3,0.8388956796527495
D4LensPINN,0,2,flip_h_r180,H13b_eff4,0.4929399297618317
D4LensPINN,0,2,flip_h_r180,H14_eff5,0.5252384322843021
D4LensPINN,0,2,flip_h_r180,H14b_eff6,0.22269337405041853
D4LensPINN,0,2,flip_h_r180,H15_before_gap,0.3598854264983275
D4LensPINN,0,2,flip_h_r180,H16_after_gap,0.3559784803594932
D4LensPINN,0,2,flip_h_r180,H17_pre_linear,0.3559784803594932
D4LensPINN,0,2,flip_h_r270,H00_preprocess,1.2620750268112502
D4LensPINN,0,2,flip_h_r270,H01_enc1,1.066546410500128
D4LensPINN,0,2,flip_h_r270,H02_enc2,0.8832974953261878
D4LensPINN,0,2,flip_h_r270,H03_enc3,0.6827595944494348
D4LensPINN,0,2,flip_h_r270,H04_bot,0.3946557469847591
D4LensPINN,0,2,flip_h_r270,H08_kappa_out,0.7602912417242557
D4LensPINN,0,2,flip_h_r270,H09_poisson,0.03336869418226346
D4LensPINN,0,2,flip_h_r270,H10_deflection,0.17241914407578424
D4LensPINN,0,2,flip_h_r270,H11_inv_lens,0.6217055372810565
D4LensPINN,0,2,flip_h_r270,H12_HANDOFF,0.6229302376303969
D4LensPINN,0,2,flip_h_r270,H12b_input_proj,0.7555981189951945
D4LensPINN,0,2,flip_h_r270,H13_eff3,0.9324445322820795
D4LensPINN,0,2,flip_h_r270,H13b_eff4,0.903960702937473
D4LensPINN,0,2,flip_h_r270,H14_eff5,0.933467079678309
D4LensPINN,0,2,flip_h_r270,H14b_eff6,0.6184602171112112
D4LensPINN,0,2,flip_h_r270,H15_before_gap,1.1115423412670762
D4LensPINN,0,2,flip_h_r270,H16_after_gap,0.6742664409750748
D4LensPINN,0,2,flip_h_r270,H17_pre_linear,0.6742664409750748
D4LensPINN,1,2,e,H00_preprocess,0.0
D4LensPINN,1,2,e,H01_enc1,0.0
D4LensPINN,1,2,e,H02_enc2,0.0
D4LensPINN,1,2,e,H03_enc3,0.0
D4LensPINN,1,2,e,H04_bot,0.0
D4LensPINN,1,2,e,H08_kappa_out,0.0
D4LensPINN,1,2,e,H09_poisson,0.0
D4LensPINN,1,2,e,H10_deflection,0.0
D4LensPINN,1,2,e,H11_inv_lens,0.0
D4LensPINN,1,2,e,H12_HANDOFF,0.0
D4LensPINN,1,2,e,H12b_input_proj,0.0
D4LensPINN,1,2,e,H13_eff3,0.0
D4LensPINN,1,2,e,H13b_eff4,0.0
D4LensPINN,1,2,e,H14_eff5,0.0
D4LensPINN,1,2,e,H14b_eff6,0.0
D4LensPINN,1,2,e,H15_before_gap,0.0
D4LensPINN,1,2,e,H16_after_gap,0.0
D4LensPINN,1,2,e,H17_pre_linear,0.0
D4LensPINN,1,2,r90,H00_preprocess,1.2854422091635205
D4LensPINN,1,2,r90,H01_enc1,1.1774787939906937
D4LensPINN,1,2,r90,H02_enc2,1.052098850501797
D4LensPINN,1,2,r90,H03_enc3,0.8835225411852914
D4LensPINN,1,2,r90,H04_bot,0.6562677623799407
D4LensPINN,1,2,r90,H08_kappa_out,1.1050554657540756
D4LensPINN,1,2,r90,H09_poisson,0.07433751986507897
D4LensPINN,1,2,r90,H10_deflection,0.43681236159863085
D4LensPINN,1,2,r90,H11_inv_lens,0.9403095945711719
D4LensPINN,1,2,r90,H12_HANDOFF,0.9416933503068418
D4LensPINN,1,2,r90,H12b_input_proj,1.0351248418382313
D4LensPINN,1,2,r90,H13_eff3,1.031636048229109
D4LensPINN,1,2,r90,H13b_eff4,1.039960229671445
D4LensPINN,1,2,r90,H14_eff5,0.9299753214879364
D4LensPINN,1,2,r90,H14b_eff6,0.4659513688162365
D4LensPINN,1,2,r90,H15_before_gap,0.928304264759884
D4LensPINN,1,2,r90,H16_after_gap,0.44830074092447686
D4LensPINN,1,2,r90,H17_pre_linear,0.44830074092447686
D4LensPINN,1,2,r180,H00_preprocess,1.3119338969677297
D4LensPINN,1,2,r180,H01_enc1,1.2690836280444504
D4LensPINN,1,2,r180,H02_enc2,1.20623800091321
D4LensPINN,1,2,r180,H03_enc3,0.8972122640148237
D4LensPINN,1,2,r180,H04_bot,0.5956425869870472
D4LensPINN,1,2,r180,H08_kappa_out,1.122929192207796
D4LensPINN,1,2,r180,H09_poisson,0.09029668736056794
D4LensPINN,1,2,r180,H10_deflection,0.5480673923786199
D4LensPINN,1,2,r180,H11_inv_lens,1.1145515598338211
D4LensPINN,1,2,r180,H12_HANDOFF,1.1157958116856215
D4LensPINN,1,2,r180,H12b_input_proj,1.1835586404260876
D4LensPINN,1,2,r180,H13_eff3,0.9983869257472225
D4LensPINN,1,2,r180,H13b_eff4,0.9642881451843646
D4LensPINN,1,2,r180,H14_eff5,0.9800519041924389
D4LensPINN,1,2,r180,H14b_eff6,0.5810136269385224
D4LensPINN,1,2,r180,H15_before_gap,1.3249078011832307
D4LensPINN,1,2,r180,H16_after_gap,0.4481130466483936
D4LensPINN,1,2,r180,H17_pre_linear,0.4481130466483936
D4LensPINN,1,2,r270,H00_preprocess,1.2854423103448016
D4LensPINN,1,2,r270,H01_enc1,1.1340930131279683
D4LensPINN,1,2,r270,H02_enc2,1.0317674026823263
D4LensPINN,1,2,r270,H03_enc3,0.8245482819839105
D4LensPINN,1,2,r270,H04_bot,0.6655301458167788
D4LensPINN,1,2,r270,H08_kappa_out,1.2294572850636332
D4LensPINN,1,2,r270,H09_poisson,0.0696013647671433
D4LensPINN,1,2,r270,H10_deflection,0.3971376132316074
D4LensPINN,1,2,r270,H11_inv_lens,0.9408989034360622
D4LensPINN,1,2,r270,H12_HANDOFF,0.942085712631271
D4LensPINN,1,2,r270,H12b_input_proj,1.0382239004232605
D4LensPINN,1,2,r270,H13_eff3,1.0441950915106566
D4LensPINN,1,2,r270,H13b_eff4,1.0378980528522548
D4LensPINN,1,2,r270,H14_eff5,0.9655527522338535
D4LensPINN,1,2,r270,H14b_eff6,0.5157133118536131
D4LensPINN,1,2,r270,H15_before_gap,1.0841963576843354
D4LensPINN,1,2,r270,H16_after_gap,0.3800563192142011
D4LensPINN,1,2,r270,H17_pre_linear,0.3800563192142011
D4LensPINN,1,2,flip_h,H00_preprocess,1.2388676559148497
D4LensPINN,1,2,flip_h,H01_enc1,1.1459844225792406
D4LensPINN,1,2,flip_h,H02_enc2,0.9791038961424262
D4LensPINN,1,2,flip_h,H03_enc3,0.7454831076691467
D4LensPINN,1,2,flip_h,H04_bot,0.43983690700767947
D4LensPINN,1,2,flip_h,H08_kappa_out,1.016031845276274
D4LensPINN,1,2,flip_h,H09_poisson,0.07352791084946218
D4LensPINN,1,2,flip_h,H10_deflection,0.5219388093370448
D4LensPINN,1,2,flip_h,H11_inv_lens,0.6414335766113199
D4LensPINN,1,2,flip_h,H12_HANDOFF,0.6434535523162689
D4LensPINN,1,2,flip_h,H12b_input_proj,0.7551720280070198
D4LensPINN,1,2,flip_h,H13_eff3,0.9400277175620086
D4LensPINN,1,2,flip_h,H13b_eff4,0.8886485484173013
D4LensPINN,1,2,flip_h,H14_eff5,1.1491720846236964
D4LensPINN,1,2,flip_h,H14b_eff6,0.4274219200428014
D4LensPINN,1,2,flip_h,H15_before_gap,0.9753674128492736
D4LensPINN,1,2,flip_h,H16_after_gap,0.2847142504937104
D4LensPINN,1,2,flip_h,H17_pre_linear,0.2847142504937104
D4LensPINN,1,2,flip_h_r90,H00_preprocess,1.2731694256440127
D4LensPINN,1,2,flip_h_r90,H01_enc1,1.1529282224342903
D4LensPINN,1,2,flip_h_r90,H02_enc2,1.0382645555220524
D4LensPINN,1,2,flip_h_r90,H03_enc3,0.8054786236949167
D4LensPINN,1,2,flip_h_r90,H04_bot,0.6555846161735889
D4LensPINN,1,2,flip_h_r90,H08_kappa_out,1.0847662159959446
D4LensPINN,1,2,flip_h_r90,H09_poisson,0.09408641368291297
D4LensPINN,1,2,flip_h_r90,H10_deflection,0.5293472573245153
D4LensPINN,1,2,flip_h_r90,H11_inv_lens,1.0387421626330946
D4LensPINN,1,2,flip_h_r90,H12_HANDOFF,1.0397906739260325
D4LensPINN,1,2,flip_h_r90,H12b_input_proj,1.1190106391494627
D4LensPINN,1,2,flip_h_r90,H13_eff3,1.0109043068941228
D4LensPINN,1,2,flip_h_r90,H13b_eff4,0.9787058445608456
D4LensPINN,1,2,flip_h_r90,H14_eff5,0.9311823960856029
D4LensPINN,1,2,flip_h_r90,H14b_eff6,0.49506033855621884
D4LensPINN,1,2,flip_h_r90,H15_before_gap,1.032838033036445
D4LensPINN,1,2,flip_h_r90,H16_after_gap,0.2231134361714418
D4LensPINN,1,2,flip_h_r90,H17_pre_linear,0.2231134361714418
D4LensPINN,1,2,flip_h_r180,H00_preprocess,1.3359004035336655
D4LensPINN,1,2,flip_h_r180,H01_enc1,1.1738019876683685
D4LensPINN,1,2,flip_h_r180,H02_enc2,1.0627137062740677
D4LensPINN,1,2,flip_h_r180,H03_enc3,0.8337069443645441
D4LensPINN,1,2,flip_h_r180,H04_bot,0.595622743640975
D4LensPINN,1,2,flip_h_r180,H08_kappa_out,1.1768700391528302
D4LensPINN,1,2,flip_h_r180,H09_poisson,0.0637137608661019
D4LensPINN,1,2,flip_h_r180,H10_deflection,0.33376576832794425
D4LensPINN,1,2,flip_h_r180,H11_inv_lens,1.1095377846199472
D4LensPINN,1,2,flip_h_r180,H12_HANDOFF,1.1105054467115303
D4LensPINN,1,2,flip_h_r180,H12b_input_proj,1.1847699692194293
D4LensPINN,1,2,flip_h_r180,H13_eff3,0.9752517549698648
D4LensPINN,1,2,flip_h_r180,H13b_eff4,0.9319040685104478
D4LensPINN,1,2,flip_h_r180,H14_eff5,0.861768573371726
D4LensPINN,1,2,flip_h_r180,H14b_eff6,0.3032850136698081
D4LensPINN,1,2,flip_h_r180,H15_before_gap,0.5389914366267139
D4LensPINN,1,2,flip_h_r180,H16_after_gap,0.2374103666704264
D4LensPINN,1,2,flip_h_r180,H17_pre_linear,0.2374103666704264
D4LensPINN,1,2,flip_h_r270,H00_preprocess,1.2562731634739104
D4LensPINN,1,2,flip_h_r270,H01_enc1,1.1966524282665312
D4LensPINN,1,2,flip_h_r270,H02_enc2,1.1652377551638513
D4LensPINN,1,2,flip_h_r270,H03_enc3,0.8716010417425812
D4LensPINN,1,2,flip_h_r270,H04_bot,0.6330081650384155
D4LensPINN,1,2,flip_h_r270,H08_kappa_out,0.8550536522045054
D4LensPINN,1,2,flip_h_r270,H09_poisson,0.044175846738726175
D4LensPINN,1,2,flip_h_r270,H10_deflection,0.2821511288171744
D4LensPINN,1,2,flip_h_r270,H11_inv_lens,0.6092151089696405
D4LensPINN,1,2,flip_h_r270,H12_HANDOFF,0.6111602917913428
D4LensPINN,1,2,flip_h_r270,H12b_input_proj,0.6829976125761142
D4LensPINN,1,2,flip_h_r270,H13_eff3,1.0427539997147914
D4LensPINN,1,2,flip_h_r270,H13b_eff4,1.0259155962212283
D4LensPINN,1,2,flip_h_r270,H14_eff5,0.9319261251192046
D4LensPINN,1,2,flip_h_r270,H14b_eff6,0.44928842633775506
D4LensPINN,1,2,flip_h_r270,H15_before_gap,0.9484710162669726
D4LensPINN,1,2,flip_h_r270,H16_after_gap,0.3459712208245481
D4LensPINN,1,2,flip_h_r270,H17_pre_linear,0.3459712208245481
D4LensPINN,2,0,e,H00_preprocess,0.0
D4LensPINN,2,0,e,H01_enc1,0.0
D4LensPINN,2,0,e,H02_enc2,0.0
D4LensPINN,2,0,e,H03_enc3,0.0
D4LensPINN,2,0,e,H04_bot,0.0
D4LensPINN,2,0,e,H08_kappa_out,0.0
D4LensPINN,2,0,e,H09_poisson,0.0
D4LensPINN,2,0,e,H10_deflection,0.0
D4LensPINN,2,0,e,H11_inv_lens,0.0
D4LensPINN,2,0,e,H12_HANDOFF,0.0
D4LensPINN,2,0,e,H12b_input_proj,0.0
D4LensPINN,2,0,e,H13_eff3,0.0
D4LensPINN,2,0,e,H13b_eff4,0.0
D4LensPINN,2,0,e,H14_eff5,0.0
D4LensPINN,2,0,e,H14b_eff6,0.0
D4LensPINN,2,0,e,H15_before_gap,0.0
D4LensPINN,2,0,e,H16_after_gap,0.0
D4LensPINN,2,0,e,H17_pre_linear,0.0
D4LensPINN,2,0,r90,H00_preprocess,1.2177573268791646
D4LensPINN,2,0,r90,H01_enc1,1.0983450015924867
D4LensPINN,2,0,r90,H02_enc2,0.9587444769936848
D4LensPINN,2,0,r90,H03_enc3,0.8104326236711427
D4LensPINN,2,0,r90,H04_bot,0.5737497784987005
D4LensPINN,2,0,r90,H08_kappa_out,0.8433848858068302
D4LensPINN,2,0,r90,H09_poisson,0.07898550283260143
D4LensPINN,2,0,r90,H10_deflection,0.5833620950828508
D4LensPINN,2,0,r90,H11_inv_lens,1.0278175752498218
D4LensPINN,2,0,r90,H12_HANDOFF,1.0284712595891716
D4LensPINN,2,0,r90,H12b_input_proj,1.1507255747440357
D4LensPINN,2,0,r90,H13_eff3,1.0286890735062681
D4LensPINN,2,0,r90,H13b_eff4,0.9293432430919344
D4LensPINN,2,0,r90,H14_eff5,0.7771072377664573
D4LensPINN,2,0,r90,H14b_eff6,0.39185927149804545
D4LensPINN,2,0,r90,H15_before_gap,0.9710752117261335
D4LensPINN,2,0,r90,H16_after_gap,0.8426058856942399
D4LensPINN,2,0,r90,H17_pre_linear,0.8426058856942399
D4LensPINN,2,0,r180,H00_preprocess,1.284703657027089
D4LensPINN,2,0,r180,H01_enc1,1.1124390536082687
D4LensPINN,2,0,r180,H02_enc2,0.9685382634163369
D4LensPINN,2,0,r180,H03_enc3,0.8194828892179881
D4LensPINN,2,0,r180,H04_bot,0.5445405396382631
D4LensPINN,2,0,r180,H08_kappa_out,0.729280151872436
D4LensPINN,2,0,r180,H09_poisson,0.09149874498762879
D4LensPINN,2,0,r180,H10_deflection,0.6979321510290728
D4LensPINN,2,0,r180,H11_inv_lens,1.102517205427705
D4LensPINN,2,0,r180,H12_HANDOFF,1.1033387392081033
D4LensPINN,2,0,r180,H12b_input_proj,1.210436212339397
D4LensPINN,2,0,r180,H13_eff3,0.9993006052416016
D4LensPINN,2,0,r180,H13b_eff4,0.9083367440629996
D4LensPINN,2,0,r180,H14_eff5,0.756664097259612
