hook,mean_accuracy_d4,std_accuracy_d4,chance_d4,delta_over_chance_d4,n_samples_d4,raw_features_d4,pca_components_used_d4,n_splits_d4,mean_accuracy_van,std_accuracy_van,chance_van,delta_over_chance_van,n_samples_van,raw_features_van,pca_components_used_van,n_splits_van,delta_mean_accuracy,delta_std_accuracy,chance_match,n_samples_match,pca_components_match
H09_poisson,0.485,0.0272366799499109,0.1428571428571428,0.3421428571428572,1400,22500,50,5,0.1535714285714285,0.0161308425580517,0.1428571428571428,0.0107142857142857,1400,1,1,5,0.3314285714285715,0.011105837391859198,True,True,False
H12_HANDOFF,0.4285714285714285,0.0108326792057879,0.1428571428571428,0.2857142857142857,1400,90000,50,5,0.1428571428571428,0.0,0.1428571428571428,0.0,1400,4,4,5,0.2857142857142857,0.0108326792057879,True,True,False
