model,hook,cache_key,acc,std,chance,margin_over_chance,n_samples,raw_dim,pca_dim,var_explained,n_splits,seed
D4LensPINN,H09_poisson,H09poisson,0.4921428571428571,0.019483116709979792,0.14285714285714285,0.34928571428571425,1400,22500,100,0.9998676776885986,5,42
D4LensPINN,H12_HANDOFF,H12HANDOFF,0.4442857142857143,0.009476070829586845,0.14285714285714285,0.30142857142857143,1400,90000,100,0.9781906008720398,5,42
