model,img_idx,true_class,group,hook,delta_l2,act_diff_sq
VanillaLensPINN,11,2,flip_h,H03_enc3,1.4561396837234497,50013.2890625
VanillaLensPINN,11,2,flip_h,H04_bot,1.3798507452011108,1189393.0
VanillaLensPINN,11,2,flip_h,H08_kappa_out,1.6186597347259521,6.43265438079834
VanillaLensPINN,11,2,flip_h,H09_poisson,0.4220156967639923,42109.1796875
VanillaLensPINN,11,2,flip_h,H10_deflection,0.4220156967639923,188.53048706054688
VanillaLensPINN,11,2,flip_h,H11_inv_lens,4.447393417358398,335.6076965332031
VanillaLensPINN,11,2,flip_h,H12_HANDOFF,0.5763230323791504,635.2235717773438
VanillaLensPINN,11,2,flip_h,H13_eff3,0.5763230323791504,626536.375
VanillaLensPINN,11,2,flip_h,H13b_eff4,0.5763230323791504,216864.4375
VanillaLensPINN,11,2,flip_h,H14_eff5,0.5763230323791504,302966.3125
VanillaLensPINN,11,2,flip_h,H14b_eff6,0.5763230323791504,151810.609375
VanillaLensPINN,11,2,flip_h,H15_before_gap,0.5763230323791504,12235.216796875
VanillaLensPINN,11,2,flip_h,H16_after_gap,0.5763230323791504,2.2902424335479736
VanillaLensPINN,11,2,flip_h,H17_pre_linear,0.5763230323791504,2.2902424335479736
VanillaLensPINN,11,2,flip_h_r90,H00_preprocess,1.8624343872070312,1211.9814453125
VanillaLensPINN,11,2,flip_h_r90,H01_enc1,1.8624343872070312,322907.875
VanillaLensPINN,11,2,flip_h_r90,H02_enc2,6.895395278930664,216217.28125
VanillaLensPINN,11,2,flip_h_r90,H03_enc3,0.4510183036327362,80180.640625
VanillaLensPINN,11,2,flip_h_r90,H04_bot,0.3236921727657318,2228313.25
VanillaLensPINN,11,2,flip_h_r90,H08_kappa_out,1.8624343872070312,9.50963020324707
VanillaLensPINN,11,2,flip_h_r90,H09_poisson,1.8956210613250732,53237.703125
VanillaLensPINN,11,2,flip_h_r90,H10_deflection,1.8956210613250732,324.84259033203125
VanillaLensPINN,11,2,flip_h_r90,H11_inv_lens,7.86277961730957,380.0186462402344
VanillaLensPINN,11,2,flip_h_r90,H12_HANDOFF,2.0718305110931396,724.5691528320312
VanillaLensPINN,11,2,flip_h_r90,H13_eff3,2.0718305110931396,653763.75
VanillaLensPINN,11,2,flip_h_r90,H13b_eff4,2.0718305110931396,240559.75
VanillaLensPINN,11,2,flip_h_r90,H14_eff5,2.0718305110931396,309224.03125
VanillaLensPINN,11,2,flip_h_r90,H14b_eff6,2.0718305110931396,164718.125
VanillaLensPINN,11,2,flip_h_r90,H15_before_gap,2.0718305110931396,9872.076171875
VanillaLensPINN,11,2,flip_h_r90,H16_after_gap,2.0718305110931396,9.983415603637695
VanillaLensPINN,11,2,flip_h_r90,H17_pre_linear,2.0718305110931396,9.983415603637695
VanillaLensPINN,11,2,flip_h_r180,H00_preprocess,0.9537714123725891,497.852294921875
VanillaLensPINN,11,2,flip_h_r180,H01_enc1,0.9537714123725891,139389.28125
VanillaLensPINN,11,2,flip_h_r180,H02_enc2,3.045599937438965,68817.3359375
VanillaLensPINN,11,2,flip_h_r180,H03_enc3,0.5628113746643066,19428.955078125
VanillaLensPINN,11,2,flip_h_r180,H04_bot,0.5447978377342224,471589.46875
VanillaLensPINN,11,2,flip_h_r180,H08_kappa_out,0.9537714123725891,2.8974530696868896
VanillaLensPINN,11,2,flip_h_r180,H09_poisson,3.257157802581787,33082.5234375
VanillaLensPINN,11,2,flip_h_r180,H10_deflection,3.257157802581787,104.85569763183594
VanillaLensPINN,11,2,flip_h_r180,H11_inv_lens,5.5938873291015625,129.9051284790039
VanillaLensPINN,11,2,flip_h_r180,H12_HANDOFF,0.4348782002925873,224.023681640625
VanillaLensPINN,11,2,flip_h_r180,H13_eff3,0.4348782002925873,507123.34375
VanillaLensPINN,11,2,flip_h_r180,H13b_eff4,0.4348782002925873,137708.953125
VanillaLensPINN,11,2,flip_h_r180,H14_eff5,0.4348782002925873,133409.4375
VanillaLensPINN,11,2,flip_h_r180,H14b_eff6,0.4348782002925873,20675.85546875
VanillaLensPINN,11,2,flip_h_r180,H15_before_gap,0.4348782002925873,1009.7894287109375
VanillaLensPINN,11,2,flip_h_r180,H16_after_gap,0.4348782002925873,1.014833927154541
VanillaLensPINN,11,2,flip_h_r180,H17_pre_linear,0.4348782002925873,1.014833927154541
VanillaLensPINN,11,2,flip_h_r270,H00_preprocess,3.7670559883117676,867.9073486328125
VanillaLensPINN,11,2,flip_h_r270,H01_enc1,3.7670559883117676,243541.53125
VanillaLensPINN,11,2,flip_h_r270,H02_enc2,6.539867877960205,139597.765625
VanillaLensPINN,11,2,flip_h_r270,H03_enc3,0.4537711441516876,51565.78125
VanillaLensPINN,11,2,flip_h_r270,H04_bot,0.40608489513397217,1423259.75
