model,hook,mean_accuracy,std_accuracy,chance,delta_over_chance,n_samples,raw_features,pca_components_used,n_splits
VanillaLensPINN,H09_poisson,0.15357142857142855,0.01613084255805174,0.14285714285714285,0.010714285714285704,1400,1,1,5
VanillaLensPINN,H12_handoff,0.14285714285714285,0.0,0.14285714285714285,0.0,1400,4,4,5
